"","species","chemical","frequency","pmid"
"1","Abies balsamea","carbon",39,"37533970, 36906726, 36110871, 36018569, 32726307, 31117507, 27658686, 26975315, 26029235, 25225397, 24861414, 18708643, 16585037, 15996964, 28547020, 11276418, 28308769"
"2","Abies balsamea","nitrogen",23,"36110871, 28668749, 34345442, 27658686, 27316353, 25225397, 25139238, 17057985, 16585037, 12020367, 28547020, 11340042, 11302853, 28308769, 14871691"
"3","Abies balsamea","n",38,"36110871, 28668749, 25139238, 22077965, 16585037, 28308769, 28313739, 14969931"
"4","Abies balsamea","phosphorus",3,"36110871, 11340042"
"5","Abies balsamea","p",4,"36110871, 22077965, 28313739, 28312645"
"6","Abies balsamea","sulfur",1,"34345442"
"7","Abies balsamea","rubidium",2,"26920559"
"8","Abies balsamea","rb",10,"26920559, 18058024"
"9","Abies balsamea","mg",6,"25139238, 22077965, 18058024, 14969931"
"10","Abies balsamea","al",6,"25139238, 18058024"
"11","Abies balsamea","fe",3,"25139238, 18058024"
"12","Abies balsamea","bi",2,"23874347"
"13","Abies balsamea","ba",6,"18519253, 18058024"
"14","Abies balsamea","as",1,"18058024"
"15","Abies balsamea","be",1,"18058024"
"16","Abies balsamea","cr",1,"18058024"
"17","Abies balsamea","cu",1,"18058024"
"18","Abies balsamea","ga",2,"18058024"
"19","Abies balsamea","sr",3,"18058024"
"20","Abies balsamea","mercury",10,"17057985, 12109479"
"21","Abies balsamea","oxygen",1,"12802719"
"22","Abies balsamea","potassium",2,"11340042"
"23","Abies balsamea","co",4,"14966008"
"24","Abies balsamea","copper",1,"7859710"
"25","Agrostis spp.","silicon",2,"27353253"
"26","Agrostis spp.","n",2,"21616816"
"27","Alectoria ochroleuca","carbon",2,"28312982"
"28","Alectoria sarmentosa","nitrogen",5,"21534972, 20731782"
"29","Alectoria sarmentosa","phosphorus",2,"21534972"
"30","Alectoria sarmentosa","n",25,"21534972, 20731782"
"31","Alectoria sarmentosa","carbon",1,"21534972"
"32","Alectoria sarmentosa","p",3,"21534972, 20731782"
"33","Alectoria sarmentosa","sulfur",6,"20864235, 8608772"
"34","Alectoria sarmentosa","s",1,"20864235"
"35","Alectoria sarmentosa","copper",1,"18289751"
"36","Alectoria sarmentosa","cu",2,"18289751"
"37","Alectoria sarmentosa","cd",2,"18289751"
"38","Alectoria sarmentosa","pb",2,"18289751"
"39","Alectoria sarmentosa","ba",1,"18289751"
"40","Alnus crispa","nitrogen",13,"28466167, 922604, 1220859, 167930, 30139095"
"41","Alnus crispa","n",2,"28466167"
"42","Alnus rugosa","nitrogen",3,"8573482, 1220859"
"43","Alnus tenuifolia","nitrogen",2,"23731390"
"44","Alnus tenuifolia","n",2,"23731390"
"45","Alnus tenuifolia","carbon",1,"23731390"
"46","Amelanchier alnifolia","ba",1,"29454893"
"47","Amelanchier alnifolia","nitrogen",4,"22842642, 15093041"
"48","Amelanchier alnifolia","phosphorus",2,"22842642"
"49","Amelanchier alnifolia","potassium",2,"22842642"
