"","species","chemical","formula","iupac"
"2","Abies balsamea","hnb","C9H18O2","(2S,5R)-5-pentyloxolan-2-ol"
"3","Abies balsamea","hnb","C9H18O2","(2R,5S)-5-pentyloxolan-2-ol"
"4","Abies balsamea","ss-pinene","C10H16","6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane"
"5","Abies balsamea","oil","C15H23NOSi","tert-butyl-(1H-indol-5-ylmethoxy)-dimethylsilane"
"6","Abies balsamea","oil","C9H13NOS","propan-2-ylsulfanyl(pyridin-4-yl)methanol"
"7","Abies balsamea","co2","CO2",NA
"8","Abies balsamea","co2","Co+2","cobalt(2+)"
"9","Abies balsamea","co2","CH2O2","formic acid"
"10","Abies balsamea","co2","CH3NO2","carbamic acid"
"11","Abies balsamea","co2","C2HO3+","(1S,4R)-2,5-dioxa-3-oxoniatricyclo[2.1.0.01,3]pentane"
"13","Abies balsamea","co2","CO3","dioxiran-3-one"
"14","Abies balsamea","co2","C2H2O2","oxiran-2-one"
"15","Abies balsamea","co2","C2HO3+","(1R,4R)-2,5-dioxa-3-oxoniatricyclo[2.1.0.01,3]pentane"
"16","Abies balsamea","co2","CH2O3","dioxiran-3-ol"
"17","Abies balsamea","ribulose-1,5-bisphosphate","C5H12O11P2","[(2R,3R)-2,3-dihydroxy-4-oxo-5-phosphonooxypentyl] dihydrogen phosphate"
"18","Abies balsamea","ribulose-1,5-bisphosphate","C5H12O11P2","(2,3-dihydroxy-4-oxo-5-phosphonooxypentyl) dihydrogen phosphate"
"19","Abies balsamea","water","H2O","oxidane"
"21","Abies balsamea","water","HNaO","sodium;hydroxide"
"23","Abies balsamea","cis-abienol","C20H34O","(1R,2R,4aS,8aS)-2,5,5,8a-tetramethyl-1-[(2Z)-3-methylpenta-2,4-dienyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol"
"24","Abies balsamea","cis-abienol","C20H34O","(1R,2R,4aS,8aS)-2,5,5,8a-tetramethyl-1-[(2E)-3-methylpenta-2,4-dienyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol"
"25","Abies balsamea","cis-abienol","C20H34O","2,5,5,8a-tetramethyl-1-[(2Z)-3-methylpenta-2,4-dienyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol"
"26","Abies balsamea","cis-abienol","C20H34O","2,5,5,8a-tetramethyl-1-(3-methylpenta-2,4-dienyl)-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol"
"27","Abies balsamea","diterpene","C20H32O3","(1S,4S,9S,10R,13R,14S)-14-hydroxy-14-(hydroxymethyl)-5,5,9-trimethyltetracyclo[11.2.1.01,10.04,9]hexadecan-6-one"
"28","Abies balsamea","diterpene","C20H32O4","(1S,4S,6S,9S,10R,13R,14S)-6,14-dihydroxy-14-(hydroxymethyl)-5,5,9-trimethyltetracyclo[11.2.1.01,10.04,9]hexadecan-7-one"
"29","Abies balsamea","diterpene","C20H28O3","(1S,4S,6S,9R,10S,12R)-6-hydroxy-5,5,9-trimethyl-16-methylidenetetracyclo[10.2.2.01,10.04,9]hexadecane-7,14-dione"
"30","Abies balsamea","diterpene","C20H32O3","(1S,4S,9S,10R,12R,13S)-13-hydroxy-13-(hydroxymethyl)-5,5,9-trimethyltetracyclo[10.2.2.01,10.04,9]hexadecan-6-one"
"31","Abies balsamea","diterpene","C20H32O3","(1S,4S,9S,10R,13S)-13-hydroxy-13-(hydroxymethyl)-5,5,9-trimethyltetracyclo[10.2.2.01,10.04,9]hexadecan-6-one"
"32","Abies balsamea","diterpene","C20H32O3","13-hydroxy-13-(hydroxymethyl)-5,5,9-trimethyltetracyclo[10.2.2.01,10.04,9]hexadecan-6-one"
