"","species","chemical","frequency","pmid","cid","cid_count"
"1","Abies balsamea","hnb",5,"37142965","14644532 14644533","2"
"2","Abies balsamea","ss-pinene",2,"35906288","14896","1"
"3","Abies balsamea","oil",4,"35906288, 16619365, 12802719","53914095 70487303","2"
"4","Abies balsamea","co2",2,"37283699, 11340042","280 104729 284 277 70699393 119388 19817254 445391 146681412 18953726","10"
"5","Abies balsamea","ribulose-1,5-bisphosphate",1,"37283699","123658 1192","2"
"6","Abies balsamea","water",43,"34143806, 32726307, 28985379, 28207782, 26635863, 25270601, 23874347, 23604743, 26784337, 21489968, 18450571, 18058024, 17169902, 14757581, 11986053, 11960755, 11340042, 14966008, 14972929, 856724","962 10129877 14798 10197601","4"
"7","Abies balsamea","cis-abienol",18,"33033333, 31117507, 22337889","643723 643003 6151409 4565052","4"
"8","Abies balsamea","diterpene",4,"33033333, 31117507, 22337889","392471 392472 392473 453152 392470 3973374 21726552 91884940","8"
"9","Abies balsamea","mevalonate",4,"33033333, 31117507","5288798 439230 449 4478250 9548673 22465468","6"
"10","Abies balsamea","glucose",10,"33033333, 31117507, 26454474, 26164238, 23864882, 12651363","5793 107526 79025 64689 24749 206 5282499 10954115","8"
"11","Abies balsamea","mep",2,"31117507","7728 31200 75318 74190 5287547 7456 19068805 12691392","8"
"12","Abies balsamea","mva",1,"31117507","449 439230 444080 71750723","4"
"13","Abies balsamea","isopropyl myristate",1,"31117507","8042","1"
"14","Abies balsamea","propidium iodide",1,"29378549","104981 24871268 4939 53628239 424898 123134622","6"
"15","Abies balsamea","methicillin",1,"27769946","6087 4103 23694213 6917652 1548979 9887345 1801714 23278031 137348603 2734800","10"
"16","Abies balsamea","monoterpene",6,"27769946, 22077965, 28547020, 28308769","18818 637566","2"
"17","Abies balsamea","sesquiterpenes",4,"27769946, 26029235, 16619365, 12802719","667450","1"
"18","Abies balsamea","isopimaric acid",1,"27769946","442048 10357584 267302 22092 3010319 25201251 133556232","7"
"19","Abies balsamea","levopimaric acid",1,"27769946","221062 221064 6602 25201105 92043548","5"
"20","Abies balsamea","rubidium chloride",1,"26920559","62683","1"
"21","Abies balsamea","rbcl",3,"26920559","62683","1"
"22","Abies balsamea","ethylene",33,"26635863, 12651363, 14871721, 14966008, 14972810","6325 16684224 121692","3"
"23","Abies balsamea","carotenoid",2,"26592897, 11302853","6419725 446841 5368396","3"
