"","species","chemical","frequency","pmid"
"1","Abies balsamea","abibalsamins a and b",1,"22394397"
"2","Abies balsamea","abibalsamins a (1) and b (2)",1,"22394397"
"3","Arctostaphylos uva-ursi","tetra- and pentagalloylglucose",1,"25702282"
"4","Betula papyrifera","di- and oligosaccharides",1,"18055435"
"5","Carex rostratta","per- and polyfluorinated substances",1,"33529820"
"6","Carex rostratta","d- and l-2,4-diaminobutyric acids",1,"21571941"
"7","Carex rostratta","n and p",1,"28306988"
"8","Cetraria islandica","fumarprotocetraric and protocetraric acids",1,"35956939"
"9","Cetraria islandica","lichenan and isolichenan",1,"18279796"
"10","Cladina stellaris","alpha- and gamma-hexachlorocyclohexane",2,"22992198"
"11","Cladonia spp.","2-o-, 4-o-, 6-o- and 2, 3-di-o-substituted alpha-d-manp",1,"10585555"
"12","Empetrum nigrum","empetroxepins a and b",2,"36038118"
"13","Empetrum nigrum","empetroxepins a and b (1 and 2)",1,"26473275"
"14","Epilobium angustifolium","oenothein b and a",1,"27866749"
"15","Lycopodium complanatum","lyconadins d (1) and e (2)",1,"21215644"
"16","Lycopodium complanatum","complanadines c (1) and d (2)",1,"17046268"
"17","Moss","alpha, beta, and gamma cyclodextrins",1,"35397161"
"18","Moss","alpha-, beta-, and gamma-cd",1,"35397161"
"19","Moss","oxy- and deoxyhaemoglobin",1,"35305987"
"20","Moss","mono- and disaccharides",1,"33138021"
"21","Moss","poly- and perfluoroalkyl substances",2,"32164037"
"22","Moss","9- and 2-chlorophenanthrene",1,"32078871"
"23","Moss","dioctyl and monoctyl sulfosuccinates",1,"30987784"
"24","Moss","mono-, di-, and trimethylarsine",1,"28648372"
"25","Moss","sphaeropsidins a and b",1,"28609099"
"26","Moss","amino- and organic acids",1,"27902285"
"27","Moss","tri- and tetraketide 2-pyrones",1,"27884449"
"28","Moss","saturated and unsaturated alcohols",1,"27704278"
"29","Moss","azo- and zno",1,"27451641"
"30","Moss","surfactin a and c",1,"27306252"
"31","Moss","o2-  and  oh radicals",1,"27053427"
"32","Moss","cytochalasins c and q",1,"26324074"
"33","Moss","alpha-, beta- and gamma-hexabromocyclododecane",1,"26312743"
"34","Moss","6- and 8-carbon alcohols",1,"25213550"
"35","Moss","poly- and oligosaccharides",1,"25147180"
"36","Moss","dibenzo and monobenzo crown ethers",1,"25094025"
"37","Moss","n(6)-(trans-2-phenylcyclopropyl) and 2-phenylethynyl",1,"24969016"
"38","Moss","mono- and di-hydroxylated fatty acids",1,"24374350"
"39","Moss","vitamins c and e",1,"24347257"
"40","Moss","mono-, di-, and trimethylornithine membrane",1,"23995937"
"41","Moss","mono-, di-, and trimethylornithine lipids",2,"23995937"
"42","Mushrooms","hg and mehg",1,"37526876"
"43","Mushrooms","hg(ii) and mehg",1,"36893598"
"44","Mushrooms","vitamins c and e",1,"35675226"
"45","Mushrooms","hepta- and octaketide",1,"35218274"
"46","Mushrooms","d, and b",1,"35016600"
"47","Mushrooms","polysaccharides alpha- and beta-glucans",1,"34500837"
"48","Mushrooms","2-methyl- and 3-methyl butanoic acids",1,"34436150"
"49","Mushrooms","alpha- and beta-amanitin",16,"34274377, 33113909, 32200933, 32091645, 30107194, 24778089, 20564017, 18502601, 11092592, 9061484"
"50","Mushrooms","alpha- and beta-amanitins",3,"34208167, 24091377, 10473435"
"51","Mushrooms","alpha- and beta-carotene",1,"33957770"
"52","Mushrooms","2-chloro-, 2-bromo- and 2-iodo-4,4,6,7-tetramethyl-9-oxabicyclo[4.3.0]nonan-8-one",1,"32966901"
"53","Mushrooms","bromo- and iodolactone",1,"32966901"
"54","Mushrooms","beta and alpha-glucans",2,"32865893, 28885559"
"55","Mushrooms","phallac acids a (1) and b (2)",1,"32472053"
"56","Mushrooms","vitamins a and c",1,"32463995"
"57","Mushrooms","vitamin a and c",1,"32463995"
"58","Mushrooms","beta- and alpha-glucans",2,"32165203, 27842810"
"59","Mushrooms","alpha and beta glucans",1,"32165203"
"60","Mushrooms","alpha- and beta-glucans",3,"32165203, 26877235, 11789883"
"61","Mushrooms","alpha and beta-glucans",4,"32165203, 28718825"
"62","Mushrooms","alpha- and beta-d-glucans",1,"31826486"
"63","Mushrooms","alpha-, beta-, and delta-tocopherol",1,"31746884"
