Abies balsamea	carbon, HNB, nitrogen, N, phosphorus, P, essential oils, ss-pinene, oil, essential oil, CO2, Ribulose-1,5-bisphosphate, RuBP, water, cis-Abienol, diterpene-diol, Labda-13-en-8-ol diphosphate, diterpene, cis-abienol, mevalonate, glucose, ecotone, Mevalonate, Diterpenoid, methylerythritol phosphate, MEP, MVA, isopropyl myristate, Propidium iodide, 4kgNH4Cl-Nha-1yr, sulfur, methicillin, monoterpene, sesquiterpenes, diterpenes, Resin acids, Isopimaric acid, levopimaric acid, phyllosphere, Phyllosphere, SDI, Rubidium, Rb, rubidium chloride, RbCl, ethylene, Tetraterpenoids, carotenoid, tetraterpenoids, abibalsamins, 1D, 2D, Abibalsamins B, H-J, fatty acid, glutamine, glutamic acid, linolenic, linoleic, oleic, stearic acids, volicitin, dehydroabietic acid, abietic acid, squalene, Glucose, hexane, Dehydroabietic acid, Carbon, sugars, starch, terpenoids, monoterpenes, glutathione, ethanol, methanol, Sephadex LH, lignan, lariciresinol 9'-p-coumarate, flavonoid, taxifolin, diethyl maleate, NH4NO3, NO3, NH4, PO4, Mg, SO4, Al, Fe, xanthophylls, Lanostane, cycloartane, triterpenoids, balsamea oleoresin, 3,4-seco-lanostane, triterpenoid, Abiesonic acid, SRL, D, BI, glycogen, polyethylene, reactive oxygen species, ROS, Pycnogenol, Abibalsamins A and B, Abibalsamins A (1) and B (2), lanostane, beta-myrcene, diterpenoid, labdanoid, aromatic oleoresin, carbon C, diphosphate, isopimaradiene, levopimaradiene, abietadiene, Asp, Leu, Phe, Gly, testosterone, dibenzylfluorescein, DBF, NADPH, chlorophyll, zeaxanthin, antheraxanthin, cresyl violet acetate, BA, As, Be, Ba, Cr, Cu, Ga, Sr, metal, rufipenne, mercury, balsamea essential oil, beta-pinene, delta-3-carene, alpha-pinene, beta-caryophyllene, alpha-humulene, carbohydrates, carbohydrate, BIU, ABG, oxygen, caryophyllene oxide, gamma-caryophyllene, GSH, Ethylene, Ethrel, lanolin, fructose, sucrose, Mercury, sugar, acetic acid, indole-3-acetic acid, IAA, potassium, Monoterpenes, -acetic acid, tracheid, dimethoate, diazinon, organophosphorus, 2-PAM, 2-chloroethylphosphonic acid, Co, 2-[N-morpholine]ethanesulfonic acid, MES, sodium dodecyl sulphate-polyacrylamide gel, glycan, graphite, copper, periodate, tannins, bornyl acetate, terpinolene, -3-carene, Auxin, Indol-3-ylacetic acid, auxin, 1-aminocyclopropane-1-carboxylic acid, mucronate, Enniatins, avenaceum, enniatin, enniatin A, A1, indolebutyric acid, IBA, N-dimethylaminosuccinamic acid, Alar-85, 1-phenyl-3-methyl-5-pyrazolone, PPZ, caffeic acid, sesquiterpenoid ester, methyl ester, todomatuic acid
Acer spicatum	CO2, water, triose phosphate, LCP
Agrostis spp.	ABW, terpenoids, (Z)-3-hexenyl acetate, phenyl ethyl alcohol, silicon, water, N, GM, glyphosate
Alectoria ochroleuca	usnic acid, water, usnic acids, Usnic acid, Usnic Acid, cetuximab, unic acid, thalli, carbon
Alectoria sarmentosa	flucytosine, fluconazole, polysaccharides, usnic acid, melanins, chlorophyll, melanin, nitrogen, phosphorus, N, carbon, P, sulfur, S, oil, Nitrogen, water, phosphorus (P), Metal, copper, metal, Cu, Cd, Pb, Ba, Oil, sea salt sulphate, sulphate, sulphur, Bonavista, ethylene, thalli, H2SO4, NaHSO3, H2O, SO2, Alectosarmentin, dibenzofuranoid, lactol, (-)-usnic acid, physodic acid, 8'-O-ethyl-beta-alectoronic acid, alectosarmentin
Alnus crispa	Aryl hydrocarbon, aryl hydrocarbons, dioxins, polycyclic aromatic hydrocarbons, PAHs, water, aryl hydrocarbon, aryl compound, benzo[a]pyrene, nitrogen, N, Pinosylvin, methyl ether, pinosylvin, pinosylvin methyl ether, Fluorescein, polysaccharide, fluorescein isothiocyanate, immunoferritin, diaminopimelic acid, Glucose, mannose, sugar, sugars, arabinose, rhamnose, Nitrogen, becane, NITROGEN, acetylene, ethylene, Ethylene
Alnus rugosa	Baicalein 5,6-Dimethyl Ether, Scopolamine, Baicalein 5,6-dimethyl ether, flavonoid, baicalein 5,6-dimethyl ether, scopolamine, Sco, water, nitrogen, Water, HCO 3, Fe hydrous oxides, fluorescein isothiocyanate, immunoferritin, diaminopimelic acid, Glucose, mannose, sugar, sugars, arabinose, rhamnose
Alnus tenuifolia	sere, nitrogen, N, carbon, Ice
Amelanchier alnifolia	Polyphenols, polyphenolic, cyanidins, delphinidins, peonidins, anthocyanins, polyphenol, quercetin, polyphenols, anthocyanin, Ozone, Sugars, sugars, ozone, sugar, polyphenolic compounds, 3-O-glucoside, cyanidin, ascorbic acid, DPPH, ABTS, vitamin C, ethanol, Thiessen, thidiazuron, TDZ, indole-3-butyric acid, IBA, indole-3-acetic acid, IAA, MgSO4, CaCl2, KH2PO4, Brigitta Blue, maltodextrin, phenols, Maltodextrin, Trolox, pomace, (-)-epicatechin, flavanol, flavonols, ellagitannins, phenolic acids, carbohydrate, triglycerides, fatty acids, glucose, cholesterol, monophosphate nucleotides, free amino acids, essential free amino acids, uridine 5'-monophosphate, hydroxy-L-proline, O-phosphoethanolamine, L-citruline, terpenoid, hydroxycinnamic acids, triterpenoids, tetraterpenids, procyanidins, POLYPHENOL, lipids, flavonoids, free radicals, oxygen radical, free radical, rhamnoides, flavonol, glycosides, pranthocyanidins, flavan-3-ols, N6-benzyladenine, BA, isopentenyladenine, iP, meta-topolin, 6-(3-hydroxybenzylamino)-9-(tetrahydropyran-2-yl)purine, mTTHP, ribosides, O-glucosides, carotenoids, chlorophylls, tocopherols, dm, proanthocyanidin, proanthocyanidins, Anthocyanin, Proanthocyanidins, Flavonol, flavonoid, ACY, chlorogenic acids, water, Quercitin 3- galactoside, 3-glucosideshowed, Flavonoid, Flavonoids, rutin, flavanes, flavoinoids, organic acids, nitrogen, phosphorus, potassium, calcium, magnesium, sodium, Ethyl acetate, serviceberry leaf extract, sucrose, starch, carbohydrates, Acarbose, cyanidin-based anthocyanins, flavonol glycosides, Protocatechuic acid, kaempferol, catechins, neolignans, Quercetin 3-galactoside, 3-glucoside, chlorogenic acid, flavanone, hydroxybenzoic acids, eriodictyol 7-glucoside, verrucose, rugose, oil, fatty acid, triacylglycerol, tocopherol, sterol, seed oils, linoleic acid, oleic acid, alpha-Tocopherol, vitamin E, sterols, beta-sitosterol, Delta(5)-avenasterol, campesterol, seed oil, triacylglycerols, unsaturated fatty acids, Water, procyanidin, lipid, trolox, cyanidin-3-glucoside, gallic acid, anthocyanidins, delphinidin, pelargonidin, petunidin, peonidin, malvidin, gamma-linolenic acid, Cyanidin 3-O-galactoside, cyanidin 3-O-glucoside, cyanidin 3-O-arabinoside, cyanidin 3-O-xyloside, quercetin 3-O-glucoside, quercetin 3-O-galactoside, quercetin 3-O-arabinoside, quercetin 3-O-xyloside, quercetin 3-O-arabinoglucoside, quercetin 3-O-robinobioside, quercetin 3-O-rutinoside, hydroxycinnamates, 3-O-caffeoylquinic acid, 5-O-caffeoylquinic acid, hydroxycinnamate, Proanthocyanidin, epicatechin, hexazinone, Hexazinone, Cyanidin 3-galactoside, Cyanidin 3-glucoside, aspirin, Celebrex, Vioxx, Anthocyanins, cyanidin (3), butylated hydoxyanisole, butylated hydroxytoluene, tert-butylhydroxyquinone, sulfur dioxide, hydrocarbons, sulfur, O(3), lithium chloride, B (SB), LiCl, hydrogen cyanide
Amelanchier sanguinea	Water, Polysaccharides, Nitric Oxide, water, polysaccharides, flavonoids, triterpenes, agamic
