"","species","chemical","frequency","pmid"
"1","Abies balsamea","glutamine",1,"26454474"
"2","Abies balsamea","glutamic acid",1,"26454474"
"3","Abies balsamea","d",1,"23874347"
"4","Abies balsamea","asp",1,"22337889"
"5","Abies balsamea","leu",1,"22337889"
"6","Abies balsamea","phe",1,"22337889"
"7","Abies balsamea","gly",1,"22337889"
"8","Arctostaphylos uva-ursi","cysteine",4,"35953755"
"9","Arctostaphylos uva-ursi","lysine",1,"28031235"
"10","Betula papyrifera","glycine",1,"37232396"
"11","Carex rostratta","arginine",1,"37460030"
"12","Carex rostratta","cysteine",1,"37460030"
"13","Carex rostratta","methionine",1,"37460030"
"14","Carex rostratta","alanine",1,"37460030"
"15","Carex rostratta","proline",7,"36035693, 34488152, 33668813, 31473792, 30048907, 29749192"
"16","Carex rostratta","glycine",6,"33362813, 21571941, 17645029, 15868162"
"17","Carex rostratta","lysine",2,"32616702"
"18","Carex rostratta","glu",3,"30928370, 30248430"
"19","Carex rostratta","pro",2,"29749192"
"20","Carex rostratta","glutamic acid",1,"21571941"
"21","Carex rostratta","phenylalanine",2,"16346477"
"22","Carex rostratta","tyrosine",1,"16346477"
"23","Carex rostratta","tryptophan",1,"6195312"
"24","Cetraria islandica","isoleucine",1,"35479433"
"25","Cetraria islandica","ile",1,"35479433"
"26","Cetraria islandica","methionine",1,"35479433"
"27","Cetraria islandica","threonine",1,"35479433"
"28","Cetraria islandica","thr",3,"35479433"
"29","Cetraria islandica","arginine",1,"35479433"
"30","Cetraria islandica","arg",1,"35479433"
"31","Cladonia uncialis","his",1,"30007436"
"32","Cornus canadensis","proline",2,"26858741"
"33","Cornus stolonifera","cysteine",4,"16658633"
"34","Epilobium angustifolium","arginine",3,"28307239"
"35","Epilobium angustifolium","asparagine",1,"28307239"
"36","Epilobium angustifolium","glutamine",1,"28307239"
"37","Equisetum arvense","tyr",2,"35696910, 15513928"
"38","Equisetum arvense","arginine",1,"30891051"
"39","Equisetum arvense","proline",1,"25818933"
"40","Equisetum arvense","glutamic acid",1,"23436255"
"41","Equisetum arvense","arg",5,"15513928, 12832038"
"42","Equisetum arvense","glu",5,"15513928, 12832038"
"43","Equisetum arvense","glutamine",1,"11762173"
"44","Equisetum arvense","histidine",1,"11762173"
"45","Equisetum arvense","glycine",1,"10589442"
"46","Equisetum fluviatile","methionine",1,"28311741"
"47","Eriophorum vaginatum","glycine",3,"23236451"
"48","Gymnocarpium dryopteris","arginine",3,"28307239"
"49","Gymnocarpium dryopteris","asparagine",1,"28307239"
"50","Gymnocarpium dryopteris","glutamine",1,"28307239"
"51","Lycopodium clavatum","isoleucine",1,"35479433"
"52","Lycopodium clavatum","ile",1,"35479433"
"53","Lycopodium clavatum","methionine",1,"35479433"
"54","Lycopodium clavatum","threonine",1,"35479433"
"55","Lycopodium clavatum","thr",3,"35479433"
"56","Lycopodium clavatum","arginine",1,"35479433"
"57","Lycopodium clavatum","arg",1,"35479433"
"58","Lycopodium clavatum","proline",2,"37744113, 10439485"
"59","Lycopodium clavatum","gly",2,"28645772"
"60","Lycopodium clavatum","lysine",2,"27303024"
"61","Lycopodium clavatum","lys",4,"27303024"
"62","Lycopodium clavatum","serine",1,"23142370"
"63","Lycopodium complanatum","d",1,"21215644"
"64","Moss","tryptophan",19,"37659723, 36094342, 33510258, 31217586, 30988947, 29943488, 29163580, 28963347, 25302159, 25112175"
"65","Moss","trp",10,"37659723, 29594589"
"66","Moss","tyrosine",18,"37659723, 36780766, 31617582, 29943488, 28963347, 27935824, 25911487, 25132048, 24139641, 23904608"
"67","Moss","phenylalanine",9,"37659723, 36624348, 32274001, 28963347, 29767134, 25911487"
"68","Moss","cysteine",16,"37645800, 36818838, 30291143, 29842917, 29033317, 28785521, 27086508, 25954835, 24374350, 23885084"
"69","Moss","serine",61,"37607234, 36650210, 36497109, 36094342, 35736511, 35431797, 34798048, 34032263, 33894202, 33646280, 32902863, 32692176, 32265953, 32019881, 31145755, 30267646, 29907568, 29842917, 29684179, 29234005, 29092909, 28578384, 28448144, 28320935, 28167762, 27129308, 26876282, 26627235, 26606999, 25816352, 25261019, 25065880, 24928908, 24844382, 24356560, 24139641, 23885084"
"70","Moss","arg",20,"37484992, 28749584, 27503561, 27177841, 25272157, 25269599"
"71","Moss","ala",13,"37242227, 37107749, 27670520, 27177841"
