"","species","chemical","formula","iupac"
"2","Abies balsamea","metal","C5H11NOS","(2S)-2-amino-4-methylsulfanylbutanal"
"3","Abies balsamea","metal","C2H4","ethene"
"4","Abies balsamea","metal","C2H4","1,2-dideuterioethene"
"5","Abies balsamea","metal","C12H3F21","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododec-1-ene"
"6","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(2S,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"7","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"8","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"9","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(3S,4S,5S)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"10","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(2R,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"11","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(2S,4S,5S)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"12","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]urea"
"13","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-(3,4,5,6-tetrahydroxy-1-oxohexan-2-yl)urea"
"14","Abies balsamea","metal","C8H15N3O7","1-methyl-1-nitroso-3-[(2R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"15","Abies balsamea","metal","C8H17N3O7","1-(hydroxyamino)-1-methyl-3-[(2R,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
"16","Abies balsamea","metal","C26H27N5O2","4-[2-[4-(2-pyridin-2-yl-5,6-dihydro-4H-pyrrolo[1,2-b]pyrazol-3-yl)quinolin-7-yl]oxyethyl]morpholine"
"17","Abies balsamea","metal","C8H17N3O7","[methyl-[[(2S,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]carbamoyl]amino]-oxidoazanium"
"18","Abies balsamea","metal","C8H17N3O7","[methyl-[(3,4,5,6-tetrahydroxy-1-oxohexan-2-yl)carbamoyl]amino]-oxidoazanium"
"19","Abies balsamea","metal","C20H40O3","2-hydroxyethyl octadecanoate"
"20","Abies balsamea","metal","C37H67NO13","(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione"
"21","Abies balsamea","metal","C37H67NO13","6-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-(5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione"
"22","Abies balsamea","metal","C10H18N2O5S","(4S)-4-amino-5-[[(1S)-1-carboxy-3-methylsulfanylpropyl]amino]-5-oxopentanoic acid"
"23","Abies balsamea","metal","C23H31Cl2NO3","[(8R,9S,13S,14S,17S)-17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl] N,N-bis(2-chloroethyl)carbamate"
"24","Abies balsamea","metal","C10H18N2O5S","4-amino-5-[(1-carboxy-3-methylsulfanylpropyl)amino]-5-oxopentanoic acid"
