"","species","chemical","frequency","pmid","cid","cid_count"
"1","Moss","ylg",1,"35720613","11084033 131637025","2"
"2","Moss","guanosine tetraphosphate",2,"35715975","135398637 135823789 135887871 129629539 135402035","5"
"3","Moss","ppgpp",8,"35715975, 25228236","135402035 157010269 135398637 135823789","4"
"4","Moss","pentaphosphate",1,"35715975","57418835","1"
"5","Moss","upadacitinib",8,"35714786","58557659 76829165","2"
"6","Moss","benzoyl peroxide",1,"35714786","7187 24847979 10706079 70605026","4"
"7","Moss","retinoids",8,"35714786, 35682657, 26682679","5282375","1"
"8","Moss","dihydroartemisinin-piperaquine",2,"35690758","11977455","1"
"9","Moss","chlorhexidine digluconate",6,"35689005, 33359754, 28363491","9552081 156592342 9939931 44134624 29089 24838357 12303048 60148207 5360565","9"
"10","Moss","chg",7,"35689005, 33359754, 28363491","736848 224391 736849 66586232 3776","5"
"11","Moss","hibiscrub",1,"35689005","9552081 24838357 9552079 12303048 60148207","5"
"12","Moss","vitamin a",8,"35682657, 32456840, 31402145, 29165226, 28673424, 26682679","445354 1071 638015 5761 5280531 135920955 135920957 5354043 10565323 10565457 10637128 7048772 6443049 9947823 10851009 5280382 10732134 11173703 6604667 9904001 24771817 1070","22"
"13","Moss","vitamin a",8,"35682657, 32456840, 31402145, 29165226, 28673424, 26682679","94216 5312805","2"
"14","Moss","salbutamol",2,"35680281, 35464638","2083 123600 9884233 39859 12953353 6452399","6"
"15","Moss","prednisolone",14,"35680281, 33106059, 32256705, 32051370, 31335316, 29264866, 29101266, 27899427","5755 4894 11245343 5702106 22809386 3011528 11865450 11865451 11865452 11865453 11972590 969504 9906908 117072386 71751744 77519147 14697601 56838871 133664827 129010012 69916","21"
"16","Moss","oxycodone",20,"35679121","5284603 4635 9904960 6445 11518351 5464087","6"
"17","Moss","trastuzumab",12,"35674041, 31178152","135454023 135518164 448545 92512020","4"
"18","Moss","deruxtecan",2,"35674041","118305111 146160901 155565784 122686146","4"
"19","Moss","iba",23,"35656369, 35631759, 35352789, 35280564, 35087305, 35050075, 33808606, 32325758, 30733787, 25737643","8617 449034 6560 16219528 6558 508065 193679 3702659 904858 639970 67537 12060 544160 67231","14"
"20","Moss","1-naphthaleneacetic acid",2,"35656369, 35050075","6862 202234 92400 4583824","4"
"21","Moss","naa",34,"35656369, 35280564, 35087305, 35050075, 34949592, 34305978, 33808606, 32325758, 32038675, 30924565, 30648411, 25737643, 25350549, 23983625","6862 445246 65065 16219714 449297 444225 23700091 4583824","8"
"22","Moss","agar",14,"35656369, 35050075, 34576807, 33175165, 32823699, 32178429, 31328080, 27223999, 27145333, 26029825, 25606353, 25253715","71571511 76645041","2"
"23","Moss","methyl eugenol",2,"35649135","7127 45266909","2"
"24","Moss","chloroatranol",13,"35649135, 30402616, 25395354, 24287679, 24102141","6426722","1"
"25","Moss","linalool",2,"35649135, 28796916","6549 443158 67179 13226630 10400532","5"
"26","Moss","geraniol",2,"35649135, 24389455","637566 4458 77519462 7792 643820 519299 41223 81263 1549026","9"
"27","Moss","polysaccharide",16,"35647323, 35396710, 33728434, 31548428, 31466197, 31183872, 30368625, 29674386, 28729228, 25147180, 24708958, 24025426","871 5287993","2"
"28","Moss","butyric acid",1,"35647323","264 104775 9812753 11127087 450622 139596687","6"
"29","Moss","bap",19,"35616774, 33385892, 32610545, 30733787, 31275026, 25737643, 23983625","2336 62389 5287739 43560 444391 444395","6"
"30","Moss","2ip",4,"35616774, 30733787","92180 439444 135747543 135438588","4"
"31","Moss","2-isopentenyladenine",1,"35616774","18179179","1"
"32","Moss","t-zeatin",1,"35616774","449093","1"
"33","Moss","tz",2,"35616774, 24692654","9256 9853362","2"
"34","Moss","polyketide",5,"35602042, 29096064, 29089518, 26641306","129900619 129900620","2"
"35","Moss","polyketide",5,"35602042, 29096064, 29089518, 26641306","73554535 471002 102234387","3"
"36","Moss","minimoidione b",1,"35602042","132497578 169491665","2"
"37","Moss","orsellinic acid",1,"35602042","68072 132769936","2"
"38","Moss","oa",1,"35602042","4628 5356789 446512 16760599 71308608 117072677 974 967 445639 7000 16219809 71308728 4581 117072676 8219 6258392 131676365 5354590 122361400","19"
"39","Moss","3-methylorsellinic acid",1,"35602042","736228","1"
"40","Moss","lecanoric acid",3,"35602042, 27645140","99613 54740368","2"
"41","Moss","methyl 3-methylorsellinate",2,"35602042","78435","1"
"42","Moss","daa",9,"35601255, 31629015","15652 42626529 85466 444639 4628825 82351 12315350","7"
"43","Moss","ame",11,"35601255, 35584573, 31592315","5360741 11968030 448580 5351221 6473720 6434208","6"
"44","Moss","sulfur dioxide",1,"35595966","1119 5987","2"
"45","Moss","cisplatin",12,"35590198, 30636294, 26317157, 25985977, 25735654, 25490449","5702198 2767 84691 441203 5460033 24191118 16211510 5311048 2770 118797066 23644016 57448222 444123 444179 18317220 3724362 3762765 424222 57459679 23939 5151461 15347789 75277392 91664004 86820626 3081186 6712951 10560134 7062237 92026269","30"
